,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Sechura,-5.5569,-80.8222,74.52,60,21,9.33,PE,1629739579
1,Ushuaia,-54.8,-68.3,44.22,81,40,2.3,AR,1629739580
2,Saint George,37.1041,-113.5841,93.67,20,1,1.01,US,1629739436
3,Bakel,14.905,-12.4568,89.96,54,100,5.91,SN,1629739580
4,Castro,-24.7911,-50.0119,80.73,29,0,8.3,BR,1629739580
5,Clyde River,70.4692,-68.5914,39.43,93,90,13.8,CA,1629739580
6,Coquimbo,-29.9533,-71.3436,58.73,62,75,11.5,CL,1629739581
7,Merauke,-8.4667,140.3333,76.24,91,100,10.74,ID,1629739581
8,Tuktoyaktuk,69.4541,-133.0374,50.0,87,90,6.91,CA,1629739581
9,Barrow,71.2906,-156.7887,32.02,86,75,5.75,US,1629739581
